Address,Date,Longitude,Latitude
"114 Ashley Dr, Manchester, NH 03103",2023-08-18,-71.41738537014005,42.95284995276494
"11 Dyer Ave, Salem, NH 03079",2023-08-18,-71.23342036472602,42.79326526292677
"118 Jennison Rd, Milford, NH 03055",2023-08-18,-71.67372129056587,42.85643548790971
"3 Holly Ct, Exeter, NH 03833",2023-08-18,-70.93351595485673,42.97732443005622
"40 Countryside Ln, Pelham, NH 03076",2023-08-18,-71.36450246009198,42.7688627819627
"600 Westford St, Lowell, MA 01851",2023-08-18,-71.33748598572836,42.633688768963054
"170 Annand Dr, Milford, NH 03055",2023-08-18,-71.6677765114319,42.799872581915565
"10 Downing St, Laconia, NH 03246",2023-08-18,-71.48366979096078,43.53415008588431
"410 Greenlodge St, Dedham, MA 02026",2023-08-18,-71.1542835486387,42.21824175977614
"12698 W 84th Dr, Arvada, CO 80005",2023-08-18,-105.14277848671144,39.85163382431541
"4131 Balboa Dr, Liverpool, NY 13090",2023-08-18,-76.22711860812733,43.16254168397182
"145 Wiltshire Dr, Clayton, NC 03079",2023-08-18,-78.3848484244176,35.62695818089658
"68 Sunset Cir, Alstead, NH 03602",2023-08-18,-72.36322100254664,43.127874320548976
"91 Potter St, Dartmouth, MA 02748",2023-08-18,-70.94732207274353,41.611198901943155
"24 Montauk Rd nan, Brockton, MA 02301",2023-08-18,-71.04110041208132,42.09092260869602
"12 Hanover Ct, Dartmouth, MA 02747",2023-08-18,-71.03554720865306,41.670679597203446
"1 Brow Ave, Braintree, MA 02184",2023-08-18,-71.00575778466587,42.210087386638165
"23 Hidden Creek Ln, Standish, ME 04084",2023-08-18,-70.47199420390285,43.816398981117544
"7519 Woodcrest Ave, Philadelphia, PA 19151",2023-08-18,-75.26552720978754,39.97490839685087
"29 Birch Rd, Norwood, MA 02062",2023-08-18,-71.19575639969578,42.18035003629818
"164 South Mountain Rd, New City, NY 10956",2023-08-18,-74.01024855371098,41.18438849913179
"124 Grand Ave, Manchester, NH 03107",2023-08-18,-71.43119033598343,42.9859291037913
"58 Oakland Ave, Methuen, MA 01844",2023-08-18,-71.18823070890167,42.72090255018931
"33 Congress St Apt 13, Nashua, NH 03062",2023-08-18,-71.49491374510256,42.73819257265211
"8 Partridge Cir, Salem, NH 03079",2023-08-18,-71.23883852490304,42.839801728037045
"150 Hackleboro Rd, Canterbury, NH 03224",2023-08-18,-71.5472110596275,43.35304421836911
"574 Pleasant St, Somerset, MA 02726",2023-08-18,-71.12503169592674,41.78166474779101
"2 Lakeview Ave, Wakefield, MA 01880",2023-08-18,-71.07820022974214,42.5235612558798
"30 Galloway Rd., Chelmsford, MA 01824",2023-08-18,-71.39299426131751,42.58822566826214
"5 Cassie Ln, Merrimack, NH 03054",2023-08-18,-71.51981765802088,42.85413800062659
"11 Jennys Hill Rd, Windham, NH 03087",2023-08-18,-71.27184426689556,42.82989452507439
"196 Stackpole St Apt 8, Lowell, MA 01852",2023-08-18,-71.29645310633981,42.64453483136172
"1920 Milan Pl, San Pedro, CA 90732",2023-08-18,-118.3172091156289,33.73823562437902
"8558 S Burnham Ave nan, Chicago, IL 60617",2023-08-18,-87.5563378220358,41.73988898857751
"6 Foxglove St, Londonderry, NH 03053",2023-08-18,-71.40585766275437,42.918993003648886
"11 Farmer Rd, Windham, NH 03087",2023-08-18,-71.28519851071559,42.79260255226585
"100 Woodview Way Apt 1209, Franklin, MA 02038",2023-08-18,-71.450182878654,42.08364316883239
"9 Jericho Ln, Salem, NH 03079",2023-08-18,-71.21617417303614,42.83485332731662
"27 Lavoie Dr, Nottingham, NH 03290",2023-08-18,-71.06326532928439,43.117140167944456
"279 Maple St, Danvers, MA 01923",2023-08-18,-70.95428177580224,42.5737599951164
"2908 E 9Th St, Tucson, AZ 85716",2023-08-18,-110.92888529391847,32.22401013845303
"37 Wyman Rd, Braintree, MA 02184",2023-08-18,-71.00155580623138,42.218564716651564
"9437 Paris Hill Rd, Paris, NY 13456",2023-08-18,-75.26601327936596,43.000929920137274
"367 Tepi Dr nan, Southbury, CT 06488",2023-08-18,-73.3231728412387,41.48499258815504
"35 Palmer Ave, Hamden, CT 06514",2023-08-18,-72.92452777465846,41.36401140206508
"162 Upper Craney Hill Rd, Weare, NH 03281",2023-08-18,-71.79343628602943,43.12050383239302
"3 Palisade Ln, Barrington, RI 02806",2023-08-18,-71.29307234975877,41.75538880797245
"23 Elmcrest Cir, Melrose, MA 02176",2023-08-18,-71.04597590081138,42.462872773079354
"49 Burgess Dr, Litchfield, NH 03052",2023-08-18,-71.44345366599765,42.87013095351186
"117 Beverly Dr, Hampstead, NH 03841",2023-08-18,-71.20474398216837,42.907491986380904
"13504 NE 88th Cir, Vancouver, WA 98682",2023-08-18,-122.53383420372758,45.68702450445316
"57 October Ln, Trumbull, CT 06611",2023-08-18,-73.23952359810168,41.27474213027385
"114 East 122nd St, New York, NY 10035",2023-08-18,-73.93993790215347,40.80290826847927
"235 Salem St, Andover, MA 01810",2023-08-18,-71.11107987564192,42.63316844823188
"62 Bergeron Dr, Arundel, ME 04046",2023-08-18,-70.52399605580716,43.448087184236336
"36 Welcome Dr, Concord, NH 03301",2023-08-18,-71.46835390661434,43.24538321107658
"121 Pelham St, Methuen, MA 01844",2023-08-18,-71.1980654746522,42.72650423779324
"1641 S Newkirk St, Philadelphia, PA 19145",2023-08-18,-75.19189693488627,39.932968793534116
"59 Beach St, Fall River, MA 02721",2023-08-18,-71.16942967807962,41.698959385542345
"701 Cohas Ave, Manchester, NH 03109",2023-08-18,-71.40001224160554,42.95660343048511
"14 Pollard Rd, Nashua, NH 03062",2023-08-18,-71.48829916444146,42.733068287962524
"26 Hevey Rd, North Attleboro, MA 02760",2023-08-18,-71.32438020254779,41.990560051228954
"207 Oak Ridge Rd, Plaistow, NH 03865",2023-08-18,-71.09708011165004,42.82648584129202
"10 Belknap St, Laconia, NH 03246",2023-08-18,-71.47004940794244,43.532816973795576
"1561 Sw 190th Ave, Pembroke Pines, FL 33029",2023-08-18,-80.40149806854359,25.99514985831408
"68 Old Mystic St, Arlington, MA 02474",2023-08-18,-71.15611546040644,42.43200461752141
"33 West St, S Deerfield, MA 01373",2023-08-18,-72.60324757837678,42.472007172163735
"2 Woodland Rd, Wilmington, MA 01887",2023-08-18,-71.14528181701041,42.539019085215315
"4 Townsend Ave., Salem, NH 03079",2023-08-18,-71.20040161344855,42.800751852542845
"301 Foster St, Lowell, MA 01851",2023-08-18,-71.33794837649927,42.63209728678949
"5 Harts Rd, Topsom, VT 05076",2023-08-18,-72.2320634641728,44.12133608741544
"35 Saltmarsh Pond Rd, Gilford, NH 03249",2023-08-18,-71.43210300541153,43.53555209869389
"213 Sullivan St, Manchester, NH 03102",2023-08-18,-71.4819807345558,42.988944289227625
